日期,主队,客队,主队进球,客队进球,比分,参考盘口,实际盘口,预测结果,先进球方,sb_λ_主队初,sb_λ_主队终,sb_λ_客队初,sb_λ_客队终,xl_λ_主队初,xl_λ_主队终,xl_λ_客队初,xl_λ_客队终,odds_fingerprint
2026-6-9,印尼女足,新加坡女足,0,2,0:02,-1.0,-2.0,2:00,客队,2.310274404313403,2.620962396340043,0.82840593406699,0.6105443099819596,2.2808830304828933,2.494018217980453,0.7838465560231196,0.5950375906465116,bd4e49e98445fc8d963f7fbbc43e9c93
2026-6-9,印尼女足,中國臺灣女足,0,5,0:05,0.75,1.75,0:02,客队,0.715308669852373,0.8303311390639933,2.519898980883503,2.4335817948302902,0.7164051197274666,0.8494579313777102,2.4910008685241274,2.378505612945931,8b85fd21ceaf9f0c1106a74b5ed3beb5
2026-6-9,印尼女足,尼泊爾女足,2,1,2:01,0.25,0.25,0:01,客队,0.9019765688574516,0.9234304614439272,1.3054154968515856,1.2107147864500871,0.8547083026014032,0.9040786633559336,1.2858563926322544,1.1630634893220582,09077b624810f2283f27cf5a67afa192
2026-6-9,日本女足,加拿大女足,1,0,1:00,-0.5,-0.75,1:00,主队,1.876768856590518,1.9218012100228288,0.8598347907040879,0.9143792852789036,1.819040985182944,1.8019855316281763,0.7809947857701581,0.8258860158033204,72ecf66d2a03002445aae2756948c672
2026-6-9,日本女足,加拿大女足,3,0,3:00,-0.25,-0.5,1:00,主队,1.5859449735098656,1.669708813349292,1.076955897910665,1.0062412358749673,1.55810015029362,1.5895475357674371,1.005555811215161,1.0006849466874743,7afb7f122c435051225761b2e76ca27f
2026-6-9,日本女足,哥倫比亞女足,1,1,1:01,-0.75,-1.5,2:00,客队,2.2709418264601693,2.1103140906803537,0.490916531148839,0.5123089040676335,2.4421970249537344,2.241893333400358,0.4895894670652772,0.5018648777629727,ad7ca02ab06b629d0805cf1c47a15682
2026-6-9,日本女足,澳洲女足,4,0,4:00,-0.5,-0.75,1:01,主队,2.1160253650330074,1.892487493208986,1.198728806683575,1.127628417256974,2.067034846816405,1.8946334966239025,1.1521709224398151,1.065737390461151,e4e0e9432b9beaa20654a9e52d6f2be9
2026-6-9,日本女足,南韓女足,4,0,4:00,-1.0,-1.75,1:01,主队,2.431686908635948,2.444327623955713,0.5070473215232683,0.54199116910638,2.414245201068088,2.4694151579888977,0.4737575150207777,0.4940379785705422,66ac0bedcdab14ba1325771b89cead02
2026-6-9,南非女足,阿爾及利亞女足,1,0,1:00,-0.5,-1.0,2:00,主队,2.011205228670658,1.7709805113630863,0.5586990552100665,0.7433042586289702,1.8952769581015725,1.7133920527882849,0.5518384302150858,0.7473159927539305,b0f94043710d60a7e4c40c1c7114c8d3
2026-6-9,南非女足,阿爾及利亞女足,2,0,2:00,-0.5,-0.75,2:00,主队,1.553002473117103,1.5526458122013058,0.8281841211038619,0.7813748013115914,1.538767654623742,1.5009413958424471,0.780506494031599,0.72027391954814,55d6c5cc6a7596af0a239a4ce4640e4d
2026-6-9,中國,庫拉索,0,0,0:00,0.5,1.0,0:01,主队,0.949348113435898,0.7252912228274845,1.5938617193853166,1.6889274560160354,0.8939038341923089,0.6891851931576575,1.522463397631162,1.7206149398543875,fd50d8289ec2960632beb4272010154c
2026-6-9,中國,中國香港,1,0,1:00,-0.5,-1.0,1:00,主队,1.9663999296633927,1.9796020315148315,0.6196423938061789,0.8056781378057876,1.6439556212278896,1.8916701194435053,0.8592091883232207,0.7912183761452038,cca32a1e9203d1ac8754dda3fc46033f
2026-6-9,中國,巴林,1,0,1:00,0.0,-0.25,1:00,主队,1.2036397805560923,1.1919399788353335,1.1540068535509589,0.9650814405609024,1.1786558049518403,1.1158537255053511,1.1068907965080956,0.9443456134179868,1dfb7bf8d1f75c3ac70cad2137c43b29
2026-6-9,中國,澳洲,0,2,0:02,0.5,0.75,0:01,客队,0.8897417642961765,0.8466523995522829,1.904220566968444,1.712368130477153,0.7799871686793379,0.7693104010451889,1.9259630397195235,1.6636357643995678,b2210b898ca7d2204ff1324a9b0bfab5
2026-6-9,中國,日本,1,3,1:03,1.0,2.0,0:02,客队,0.4930645075576603,0.4963575790120135,3.0320245247125723,2.643198492067865,0.4382899820782457,0.4732204730422744,3.062984112941958,2.67568558090716,0a6d8e944cb766b573a37b60977ccf6c
2026-6-9,中國臺灣,泰國,1,6,1:06,1.0,1.75,0:02,客队,0.5905330883642372,0.5654132014488479,2.822407473689244,2.4830653805962704,0.5154821469956486,0.4574508317826499,2.875204230676822,2.53265135162293,9277c6ec4a169341796c8cc48cf6f228
2026-6-9,土庫曼,泰國,3,1,3:01,0.25,0.5,0:01,主队,1.2382422121591974,0.724755455222964,1.361833659722162,1.1922853467277903,1.0742761767044642,0.7063474914303832,1.512659277358659,1.2272830044780123,e34441efbd43fbebb55d6eaed118ac28
2026-6-9,越南,泰國,2,1,2:01,-0.25,-0.25,1:01,主队,1.407005617660962,1.3381713242630036,0.935134956630954,1.0076207395982142,1.467573551959048,1.2715694902698145,0.907751281152672,0.932520684699734,4a0120918a75640f182ac6bf7c8d78c8
2026-6-9,菲律賓,泰國,2,1,2:01,0.5,1.0,0:01,主队,0.7572218453404024,0.8966125154421377,2.017138239127722,1.87058782333757,0.7053927134983005,0.7958471559155493,1.9431269498449864,1.793105291063563,b931857b0a337e444206131ab3b4e0e6
2026-6-9,新加坡,泰國,2,4,2:04,0.5,1.25,0:02,主队,0.661277095533644,0.8935307285764734,2.168956934817571,2.122228697590131,0.6677966242427368,0.8341939809173416,2.0537775031690644,1.9725239845393787,6849278767f6ea8f8250fa053693916e
2026-6-9,匈牙利,芬蘭,2,1,2:01,-0.25,-0.75,1:00,主队,1.5516944967580748,1.5312225063308902,1.0417179791646956,0.9988896108991344,1.5722137868208457,1.5148237037672094,0.8954680047444022,0.9904524892236348,d13d4d7481cba39a7e081b260da19f58
2026-6-9,匈牙利,希臘,0,0,0:00,0.0,0.25,1:01,无进球,1.3344254848380548,1.1430163696629692,1.2187518858029935,1.298175743128889,1.3162774723560455,1.1697009341978235,1.1966707642911991,1.2741434823055215,c60876be09c13a875a31069bc5e6ee9b
2026-6-9,匈牙利,斯洛文尼亞,1,0,1:00,-0.25,-0.75,1:00,主队,1.567986236221493,1.5827852488148082,0.9172072584557872,0.8568823177808319,1.5196960741281984,1.494302756592817,0.944154448657351,0.8296808960069295,8437a393d43fe1d0bac717403fa15553
2026-6-9,匈牙利,阿美尼亞,2,0,2:00,-0.75,-1.5,2:00,主队,1.886871037169206,2.1912340061227136,0.7023267206987043,0.7438638746986276,1.7970958339383458,2.114563267297362,0.7046838972132,0.7813587901181712,87b6eaccc47bbbdcc59f35f99fc40d03
2026-6-9,匈牙利,愛爾蘭,2,3,2:03,-0.25,-0.5,1:00,主队,1.576538054434969,1.4691582694902847,0.8166749657431999,0.9936396363527978,1.4768097897629873,1.399609467529786,0.8778831046759494,0.9709631286385778,33ce4d5238dd7d95f2fbfa9cc4922c0e
2026-6-9,阿美尼亞,哈薩克,1,1,1:01,-0.25,-0.5,1:01,客队,1.4910143738305393,1.4313765379378045,0.9810494305330446,1.0184384760350556,1.3659009611039388,1.4096015909748456,1.048475717400284,0.9511286513809364,81a214039684cc2586fe4a7f2ae44fae
2026-6-9,北馬其頓,哈薩克,1,1,1:01,-0.75,-1.25,1:00,客队,1.9915738552396127,1.9037585857332315,0.5019919158042802,0.5417232796876363,1.8682220381826136,1.869311619421236,0.5336122213783957,0.5122006208599018,29a802f4461a78fbeb924908c15f0a25
2026-6-9,白俄羅斯,哈薩克,4,1,4:01,-0.5,-0.75,1:00,主队,1.3577593915684725,1.467896932687435,1.075986882017748,0.6309147886312888,1.3602598540625996,1.4396731884188705,1.057822095451983,0.6403907601648748,89bd94e918fc4c5baf0b3b794078debb
2026-6-9,列支敦士登,哈薩克,0,2,0:02,0.75,1.25,0:01,客队,0.5664699165674077,0.4943051810562661,2.0322536469764145,1.753548193076586,0.5019341331127306,0.4746618276837313,2.003283875894966,1.720392495997799,005e581717fe338dc9fb9cbd3bc0539e
2026-6-9,冰島,法國,2,2,2:02,0.75,1.5,0:02,主队,0.5334607129316612,0.7133807778833932,2.7497176728654584,2.2713369070192155,0.6520845033874202,0.6875874932892881,2.672339932684193,2.244023558092163,6685a11159f1a7751b47ef0234a07d64
2026-6-9,冰島,烏克蘭,3,5,3:05,0.25,0.25,0:00,客队,1.140467949641293,1.0885427125477043,1.3571974864688183,1.3391515307070734,1.108569731806923,1.0726548133570095,1.3396085543419332,1.3291537044112467,aedfc367f2efbbb12529c57ed9ec8753
2026-6-9,冰島,阿塞拜疆,5,0,5:00,-0.5,-1.25,2:00,主队,1.898681795934647,2.0418524586015265,0.7935859609855678,0.8037673767821287,2.0279284991804416,1.9889643357036084,0.6859773481295007,0.7293723430375506,428617d45fd30845e8a8bfe96dd0905f
2026-6-9,冰島,土耳其,2,4,2:04,0.25,0.5,1:01,主队,0.9746121089851676,1.0233893513508947,1.664756936351525,1.6504215919057657,0.8676227851377142,1.0299282233712863,1.71143614522211,1.5992451513242725,8916262dfdcc59fae36693a3287d3ae3
2026-6-9,冰島,威爾斯,2,2,2:02,0.0,0.25,1:01,客队,1.1586382050695707,1.0689771908911805,1.2497503012150972,1.2442232903439951,1.105396606224856,1.0293254539995078,1.222785577206561,1.2241895251847676,16a3d827073b478924032cee710341a0
2026-6-9,安哥拉,阿根廷,0,2,0:02,1.0,2.0,0:02,客队,0.4940790562160935,0.5404230923602305,2.463189241164364,2.5742970964267147,0.4536005320184855,0.4785048886650088,2.461297931427957,2.5912375085557886,f958a105a04542849bc32170e4294673
2026-6-9,厄瓜多爾,阿根廷,1,0,1:00,0.0,0.0,0:00,主队,0.9901551960990024,0.8632310322003132,1.21473337453389,0.9881624428132768,0.933921400873541,0.8867400658894041,1.0897373990237025,0.9917539855311276,372a997f14365670aa10b8ff523b6cf5
2026-6-9,智利,阿根廷,0,1,0:01,0.25,0.5,0:01,客队,0.7643433085183132,0.7708447052240017,1.6685266120499929,1.416135527841318,0.8507913191995532,0.7358744419641285,1.4941727663797042,1.4010367425978187,6db8579fe51e3434c29dd7c4f17ddf12
2026-6-9,烏拉圭,阿根廷,0,1,0:01,0.0,0.0,1:00,客队,1.042903691073784,1.0641929455863186,1.0429036912003642,0.9648639390589964,1.0383183969875969,1.030168867674973,1.0212960551510517,0.9597346588551342,eb33e8f3182385b183963f75211a5ef6
2026-6-9,巴拉圭,阿根廷,2,1,2:01,0.25,0.5,0:01,客队,0.7011693957955083,0.6856060010798196,1.4532818903010765,1.3051703851890064,0.6682040651328087,0.6702711819635201,1.451169880708626,1.302560400004749,33f015415957a841b857d28945882d40
2026-6-9,墨西哥,烏拉圭,0,0,0:00,-0.25,0.0,1:00,无进球,1.5516944967580748,1.47301917103702,1.0417179791646956,0.955850972039714,1.5722137868208457,1.4511329608524013,0.8954680047444022,0.992420172134299,87e25a4b054529eabff50993c66325ff
2026-6-9,墨西哥,厄瓜多爾,1,1,1:01,-0.25,-0.25,1:01,主队,1.2784329781390398,1.3960862570479011,1.2784329781390398,1.061269533250874,1.2518513215129043,1.3497603748215945,1.2243669061332856,1.018675624526336,86350dcd03df269878f5b13a22ae4942
2026-6-9,墨西哥,多米尼加共和國,3,2,3:02,-1.0,-2.25,2:00,主队,2.544352208186056,2.7394977724337086,0.4940838876568019,0.5134864471451069,2.533359722419406,2.7311464880013085,0.4693197754111268,0.4555043781561786,3fae94c5f02271813c68c1e97e6c99ff
2026-6-9,墨西哥,洪都拉斯,4,0,4:00,-0.75,-1.5,2:00,主队,1.9194232088042869,2.0933300029656303,0.577422874971495,0.5699329807136705,2.1287489028249675,2.067530366747554,0.5143952040336169,0.5648699170877425,dd5c73f2b065f98c21e925df7d07e810
2026-6-9,墨西哥,美國,2,0,2:00,-0.25,-0.25,1:00,主队,1.336079287740919,1.3637605889554438,1.058375882928953,0.9543331605649048,1.3096829218228467,1.3332850836742194,1.0291007830387722,0.924082780669396,ed6c8a2f127d846c77652848a193cc5e
2026-6-9,尼日爾,南非,0,0,0:00,0.5,0.75,0:01,无进球,0.7432422315054046,0.5942517386295965,1.6376088618039195,1.5316580850391528,0.7178603778167928,0.5562027687110049,1.640696495195998,1.5249138749515951,c68779e6f1e5a4541bd2030fe25f0ff5
2026-6-9,阿爾及利亞,南非,1,1,1:01,-0.25,-0.5,1:00,主队,1.5043876202237678,1.3299506204055047,0.9101498522361609,0.8711405930703962,1.3215696850562515,1.2933124002472107,0.9135161151838942,0.8673405152789422,4b46d7274bf359f167e1f88a99e1a8f8
2026-6-9,安哥拉,南非,3,0,3:00,0.0,0.0,0:01,主队,0.7614758049785841,1.0506298721626566,1.2459315398871431,0.9547337797139474,0.7157724165137955,1.025826752633008,1.2567314262498266,0.9543284670537744,014c3a705e069e9fe423ed6b0e0d565e
2026-6-9,貝南,南非,0,2,0:02,0.25,0.5,0:01,客队,0.8012523623529768,0.7889258093593765,1.1455781804616243,1.3008277345211816,0.8221816798338963,0.782078238240528,1.194364881993318,1.3094094338273363,58f4f8a074fb5bcd33f0ca5a7c00d77a
2026-6-9,印尼女足,新加坡女足,0,2,0:02,-1.0,-2.0,1:00,客队,2.310274404313403,2.620962396340043,0.82840593406699,0.6105443099819596,2.2808830304828933,2.494018217980453,0.7838465560231196,0.5950375906465116,bd4e49e98445fc8d963f7fbbc43e9c93
2026-6-9,埃及,南非,1,0,1:00,-0.25,-0.5,1:00,主队,1.3526286464298187,1.3526286464298187,0.895605371478579,0.895605371478579,1.2951147488639096,1.361116039972138,0.8005223212362276,0.8530925294077503,49bf5d4bd3ae9159c1b589f58b274a71
2026-6-10,匈牙利,哈薩克,3,1,3:01,-0.75,-1.75,1:00,客队,2.341549930872445,2.348378346797958,0.6673332237907883,0.6338459800323928,2.3127428305449613,2.324678907836689,0.6158800486284571,0.6495372351641191,d8b24f9f3b10447917a745792d65bb22
